observations,centile,subject_ids,CortexVol,Right-Amygdala,Right-Lateral-Ventricle,WM-hypointensities
47,0.95,47,517948.7291715391,1831.626882567803,24786.620944185186,6106.534569117223
48,0.05,48,415761.77208649233,1340.0199150224198,1519.372320588187,427.57079638362586
48,0.25,48,462665.11444879835,1570.3948106050673,4458.616373489609,850.8907135022902
48,0.5,48,495267.13564016187,1730.5259835549,6501.654077691525,1145.135946646278
48,0.75,48,527869.1568315255,1890.657156504733,8544.69178189344,1439.3811797902654
48,0.95,48,574772.4991938312,2121.032052087379,11483.935834794864,1862.7010969089297
49,0.05,49,409700.4902299803,1308.5527697203443,1257.990716287154,327.65004151275957
49,0.25,49,459118.277506527,1559.6105060167426,4638.178575866248,771.4712233563441
49,0.5,49,493468.0629775739,1734.11810455345,6987.711693944225,1079.9666705223651
49,0.75,49,527817.8484486209,1908.625703090157,9337.244812022202,1388.462117688387
49,0.95,49,577235.6357251673,2159.6834393865565,12717.432671601284,1832.2832995319711
50,0.05,50,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
50,0.25,50,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
50,0.5,50,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
50,0.75,50,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
50,0.95,50,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
51,0.05,51,417024.44024810777,1347.359324428186,1534.0692798490127,450.298459928537
51,0.25,51,463539.57086533355,1574.1501417422105,4383.841458529416,874.7749574619636
51,0.5,51,495871.7501456012,1731.7900594897478,6364.6882016511445,1169.8241175180326
51,0.75,51,528203.9294258689,1889.4299772372851,8345.534944772866,1464.8732775741016
51,0.95,51,574719.0600430948,2116.2207945513096,11195.307123453276,1889.3497751075283
52,0.05,52,409700.4902299803,1308.5527697203443,1257.990716287154,327.65004151275957
52,0.25,52,459118.277506527,1559.6105060167426,4638.178575866248,771.4712233563441
52,0.5,52,493468.0629775739,1734.11810455345,6987.711693944225,1079.9666705223651
52,0.75,52,527817.8484486209,1908.625703090157,9337.244812022202,1388.462117688387
52,0.95,52,577235.6357251673,2159.6834393865565,12717.432671601284,1832.2832995319711
53,0.05,53,415761.77208649233,1340.0199150224198,1519.372320588187,427.57079638362586
53,0.25,53,462665.11444879835,1570.3948106050673,4458.616373489609,850.8907135022902
53,0.5,53,495267.13564016187,1730.5259835549,6501.654077691525,1145.135946646278
53,0.75,53,527869.1568315255,1890.657156504733,8544.69178189344,1439.3811797902654
53,0.95,53,574772.4991938312,2121.032052087379,11483.935834794864,1862.7010969089297
54,0.05,54,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
54,0.25,54,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
54,0.5,54,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
54,0.75,54,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
54,0.95,54,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
55,0.05,55,420243.95239747385,1357.7748811369238,1516.951891469118,487.2555880102101
55,0.25,55,466407.36759458366,1579.2434085716222,4200.868625915364,921.442216577875
55,0.5,55,498495.0731763378,1733.1838584626469,6066.430989816154,1223.240786842365
55,0.75,55,530582.778758092,1887.124308353672,7931.993353716955,1525.039357106854
55,0.95,55,576746.1939552019,2108.5928357883695,10615.910088163193,1959.2259856745197
56,0.05,56,398109.29440605047,1307.4539883883972,589.3315117989832,238.28142412171678
56,0.25,56,450481.96909637743,1583.3121932065167,4518.084568791544,786.4215187835498
56,0.5,56,486885.66580765136,1775.0583372194756,7248.919600340225,1167.4279477915388
56,0.75,56,523289.3625189253,1966.8044812324351,9979.754631888909,1548.4343767995276
56,0.95,56,575662.0372092522,2242.662686050554,13908.50768888147,2096.5744714613643
57,0.05,57,422382.69267882465,1359.432160839272,1484.4814148698051,498.09784893558333
57,0.25,57,468665.11859501863,1579.4806896507523,4095.08147151876,941.561080615819
57,0.5,57,500835.5472790117,1732.4341133966411,5909.6821818818735,1249.8077203787188
57,0.75,57,533005.9759630047,1885.3875371425297,7724.282892244978,1558.0543601416189
57,0.95,57,579288.4018791986,2105.436065954009,10334.882948893932,2001.5175918218554
58,0.05,58,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
58,0.25,58,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
58,0.5,58,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
58,0.75,58,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
58,0.95,58,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
59,0.05,59,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
59,0.25,59,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
59,0.5,59,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
59,0.75,59,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
59,0.95,59,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
60,0.05,60,384941.2591232019,1365.8254675758249,1761.311969200131,-473.6986453051486
60,0.25,60,430151.6474228302,1556.3199784734345,6730.957350117045,702.53103832417
60,0.5,60,461576.91400679125,1688.7307144322735,10185.305715542365,1520.1159510448485
60,0.75,60,493002.18059075234,1821.1414503911124,13639.654080967684,2337.700863765529
60,0.95,60,538212.5688903804,2011.6359612887215,18609.299461884595,3513.930547394837
61,0.05,61,411026.8894633166,1312.803914677102,1329.8262280650506,343.344179901066
61,0.25,61,459953.4774894261,1559.7658307340284,4627.104570068522,780.1235509997413
61,0.5,61,493961.83551489253,1731.4264675934241,6919.00815232181,1083.7243093958741
61,0.75,61,527970.1935403591,1903.0871044528194,9210.911734575098,1387.3250677920064
61,0.95,61,576896.7815664683,2150.049020509748,12508.190076578572,1824.1044388906826
62,0.05,62,417024.44024810777,1347.359324428186,1534.0692798490127,450.298459928537
62,0.25,62,463539.57086533355,1574.1501417422105,4383.841458529416,874.7749574619636
62,0.5,62,495871.7501456012,1731.7900594897478,6364.6882016511445,1169.8241175180326
62,0.75,62,528203.9294258689,1889.4299772372851,8345.534944772866,1464.8732775741016
62,0.95,62,574719.0600430948,2116.2207945513096,11195.307123453276,1889.3497751075283
63,0.05,63,415761.77208649233,1340.0199150224198,1519.372320588187,427.57079638362586
63,0.25,63,462665.11444879835,1570.3948106050673,4458.616373489609,850.8907135022902
63,0.5,63,495267.13564016187,1730.5259835549,6501.654077691525,1145.135946646278
63,0.75,63,527869.1568315255,1890.657156504733,8544.69178189344,1439.3811797902654
63,0.95,63,574772.4991938312,2121.032052087379,11483.935834794864,1862.7010969089297
64,0.05,64,415761.77208649233,1340.0199150224198,1519.372320588187,427.57079638362586
64,0.25,64,462665.11444879835,1570.3948106050673,4458.616373489609,850.8907135022902
64,0.5,64,495267.13564016187,1730.5259835549,6501.654077691525,1145.135946646278
64,0.75,64,527869.1568315255,1890.657156504733,8544.69178189344,1439.3811797902654
